m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
792,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Türkiye,2021,25.431346881,%,E,false
792,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Türkiye,2022,26.524914934,%,E,false
800,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uganda,2020,0.430948419,%,I,false
800,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uganda,2021,0.430948419,%,I,false
800,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uganda,2022,0.430948419,%,I,false
804,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ukraine,2020,1.672181652,%,E,false
804,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ukraine,2021,1.390346874,%,E,false
804,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ukraine,2022,0.588201734,%,E,false
784,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Arab Emirates,2020,1544.064454667,%,E,false
784,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Arab Emirates,2021,1492,%,E,false
784,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Arab Emirates,2022,1643.789882667,%,E,false
826,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Kingdom of Great Britain and Northern Ireland,2020,0.804761905,%,I,false
826,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Kingdom of Great Britain and Northern Ireland,2021,0.804761905,%,I,false
826,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Kingdom of Great Britain and Northern Ireland,2022,0.804761905,%,I,false
834,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Republic of Tanzania,2020,4.811467747,%,I,false
834,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Republic of Tanzania,2021,4.811467747,%,I,false
834,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Republic of Tanzania,2022,4.811467747,%,I,false
840,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United States of America,2020,5.741283806,%,I,false
840,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United States of America,2021,5.741283806,%,I,false
840,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United States of America,2022,5.741283806,%,I,false
858,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uruguay,2020,1.961558147,%,E,false
858,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uruguay,2021,2.002448063,%,E,false
858,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uruguay,2022,2.020513732,%,E,false
860,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uzbekistan,2020,96.582770616,%,E,false
860,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uzbekistan,2021,81.235932065,%,E,false
860,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uzbekistan,2022,83.896050747,%,E,false
862,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Venezuela (Bolivarian Republic of),2020,1.261132075,%,I,false
862,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Venezuela (Bolivarian Republic of),2021,1.261132075,%,I,false
862,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Venezuela (Bolivarian Republic of),2022,1.261132075,%,I,false
704,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Viet Nam,2020,8.794055106,%,I,false
704,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Viet Nam,2021,8.794055106,%,I,false
704,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Viet Nam,2022,8.794055106,%,I,false
145,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Western Asia,2020,39.642329884,%,E,true
145,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Western Asia,2021,39.447441274,%,E,true
145,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Western Asia,2022,40.056855125,%,E,true
1,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,World,2020,6.701610263,%,E,true
1,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,World,2021,6.655041281,%,E,true
1,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,World,2022,6.669138117,%,E,true
887,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Yemen,2020,154.047619048,%,I,false
887,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Yemen,2021,154.047619048,%,I,false
887,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Yemen,2022,154.047619048,%,I,false
894,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Zambia,2020,1.099236641,%,I,false
894,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Zambia,2021,1.099236641,%,I,false
894,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Zambia,2022,1.099236641,%,I,false
716,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Zimbabwe,2020,21.406246975,%,E,false
716,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Zimbabwe,2021,21.406246975,%,E,false
716,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Zimbabwe,2022,21.406246975,%,E,false
4,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Afghanistan,2020,14.062099223,US$/m3,E,false
4,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Afghanistan,2021,12.129940586,US$/m3,E,false
4,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Afghanistan,2022,13.192248571,US$/m3,E,false
8,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Albania,2020,134.297693348,US$/m3,E,false
8,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Albania,2021,244.059018466,US$/m3,E,false
8,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Albania,2022,241.544022121,US$/m3,E,false
12,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2020,250.489672137,US$/m3,E,false
12,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2021,324.363571582,US$/m3,E,false
12,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2022,351.158334445,US$/m3,E,false
24,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Angola,2020,196.21306479,US$/m3,E,false
24,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Angola,2021,208.851726629,US$/m3,E,false
24,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Angola,2022,202.180575971,US$/m3,E,false
28,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2020,87.109415291,US$/m3,E,false
28,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2021,98.587029815,US$/m3,E,false
28,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2022,108.996654032,US$/m3,E,false
32,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2020,29.207928393,US$/m3,E,false
32,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2021,35.473582304,US$/m3,E,false
32,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2022,37.776810184,US$/m3,E,false
51,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Armenia,2020,14.855608239,US$/m3,E,false
51,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Armenia,2021,26.519546931,US$/m3,E,false
51,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Armenia,2022,20.778964981,US$/m3,E,false
36,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia,2020,106.393114391,US$/m3,E,false
36,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia,2021,114.011270374,US$/m3,E,false
36,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia,2022,120.178760216,US$/m3,E,false
53,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia and New Zealand,2020,84.633909428,US$/m3,E,true
53,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia and New Zealand,2021,91.157289703,US$/m3,E,true
53,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia and New Zealand,2022,95.786614954,US$/m3,E,true
40,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Austria,2020,39.825121878,US$/m3,E,false
40,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Austria,2021,42.961026574,US$/m3,E,false
40,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Austria,2022,43.450437846,US$/m3,E,false
31,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Azerbaijan,2020,36.665559687,US$/m3,E,false
31,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Azerbaijan,2021,42.893632647,US$/m3,E,false
31,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Azerbaijan,2022,51.933285283,US$/m3,E,false
48,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bahrain,2020,906.0187324,US$/m3,E,false
48,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bahrain,2021,1057.584863535,US$/m3,E,false
48,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bahrain,2022,1040.563260461,US$/m3,E,false
50,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bangladesh,2020,129.62829203,US$/m3,E,false
50,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bangladesh,2021,141.885365932,US$/m3,E,false
50,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bangladesh,2022,154.456264917,US$/m3,E,false
52,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Barbados,2020,73.687873928,US$/m3,E,false
52,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Barbados,2021,71.198904968,US$/m3,E,false
52,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Barbados,2022,79.126553146,US$/m3,E,false
112,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belarus,2020,39.686177858,US$/m3,E,false
112,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belarus,2021,39.941426164,US$/m3,E,false
112,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belarus,2022,39.476604299,US$/m3,E,false
56,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belgium,2020,22.001075243,US$/m3,E,false
56,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belgium,2021,20.548882504,US$/m3,E,false
56,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belgium,2022,21.825166078,US$/m3,E,false
84,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belize,2020,11.551069899,US$/m3,E,false
84,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belize,2021,15.718091604,US$/m3,E,false
84,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belize,2022,15.645911575,US$/m3,E,false
204,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Benin,2020,76.025160899,US$/m3,E,false
204,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Benin,2021,82.198953405,US$/m3,E,false
204,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Benin,2022,90.224097723,US$/m3,E,false
64,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bhutan,2020,110.500570797,US$/m3,E,false
64,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bhutan,2021,135.231132251,US$/m3,E,false
64,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bhutan,2022,158.735674009,US$/m3,E,false
68,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bolivia (Plurinational State of),2020,230.478647662,US$/m3,E,false
68,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bolivia (Plurinational State of),2021,278.19037353,US$/m3,E,false
68,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bolivia (Plurinational State of),2022,286.436633646,US$/m3,E,false
70,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bosnia and Herzegovina,2020,53.080143893,US$/m3,E,false
70,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bosnia and Herzegovina,2021,63.54023267,US$/m3,E,false
70,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bosnia and Herzegovina,2022,8.5415526,US$/m3,E,false
72,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Botswana,2020,125.085340366,US$/m3,E,false
72,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Botswana,2021,192.057629029,US$/m3,E,false
72,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Botswana,2022,260.900943747,US$/m3,E,false
76,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Brazil,2020,30.968850946,US$/m3,E,false
76,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Brazil,2021,33.902983809,US$/m3,E,false
76,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Brazil,2022,33.59235792,US$/m3,E,false
100,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bulgaria,2020,2.923722753,US$/m3,E,false
100,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bulgaria,2021,2.627368885,US$/m3,E,false
100,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bulgaria,2022,2.858271919,US$/m3,E,false
854,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Burkina Faso,2020,228.259575102,US$/m3,E,false
854,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Burkina Faso,2021,240.566777613,US$/m3,E,false
854,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Burkina Faso,2022,225.359581942,US$/m3,E,false
108,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Burundi,2020,36.603983619,US$/m3,E,false
108,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Burundi,2021,37.229677741,US$/m3,E,false
108,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Burundi,2022,38.035827573,US$/m3,E,false
132,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cabo Verde,2020,47.45398421,US$/m3,E,false
132,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cabo Verde,2021,54.605583604,US$/m3,E,false
132,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cabo Verde,2022,56.983677983,US$/m3,E,false
116,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cambodia,2020,236.988853863,US$/m3,E,false
116,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cambodia,2021,260.741915594,US$/m3,E,false
116,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cambodia,2022,282.957577224,US$/m3,E,false
120,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cameroon,2020,77.375037738,US$/m3,E,false
120,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cameroon,2021,86.138227133,US$/m3,E,false
120,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cameroon,2022,91.719302923,US$/m3,E,false
124,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Canada,2020,12.696349014,US$/m3,E,false
124,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Canada,2021,13.214251537,US$/m3,E,false
124,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Canada,2022,13.663199277,US$/m3,E,false
140,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Central African Republic,2020,33.662805891,US$/m3,E,false
140,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Central African Republic,2021,34.008287271,US$/m3,E,false
140,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Central African Republic,2022,34.279122007,US$/m3,E,false
143,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Central Asia,2020,12.913078315,US$/m3,E,true
143,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Central Asia,2021,12.272246914,US$/m3,E,true
143,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Central Asia,2022,13.259168572,US$/m3,E,true
62,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Central and Southern Asia,2020,33.166854743,US$/m3,E,true
62,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Central and Southern Asia,2021,35.559410388,US$/m3,E,true
62,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Central and Southern Asia,2022,37.861630899,US$/m3,E,true
148,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Chad,2020,44.605105926,US$/m3,E,false
148,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Chad,2021,53.76008355,US$/m3,E,false
148,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Chad,2022,72.968256614,US$/m3,E,false
152,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Chile,2020,39.471530387,US$/m3,E,false
152,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Chile,2021,47.77803401,US$/m3,E,false
152,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Chile,2022,50.676376539,US$/m3,E,false
156,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,China,2020,53.372226685,US$/m3,E,false
156,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,China,2021,67.14899648,US$/m3,E,false
156,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,China,2022,68.781798826,US$/m3,E,false
170,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Colombia,2020,56.295247244,US$/m3,E,false
170,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Colombia,2021,67.356932014,US$/m3,E,false
170,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Colombia,2022,79.265196658,US$/m3,E,false
174,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Comoros,2020,185.587359957,US$/m3,E,false
174,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Comoros,2021,216.704056915,US$/m3,E,false
174,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Comoros,2022,217.306132805,US$/m3,E,false
178,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Congo,2020,137.106227496,US$/m3,E,false
178,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Congo,2021,188.129026087,US$/m3,E,false
178,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Congo,2022,154.787572589,US$/m3,E,false
188,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Costa Rica,2020,45.791174523,US$/m3,E,false
188,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Costa Rica,2021,50.116461437,US$/m3,E,false
188,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Costa Rica,2022,52.172099117,US$/m3,E,false
191,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Croatia,2020,18.077537815,US$/m3,E,false
191,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Croatia,2021,20.559788875,US$/m3,E,false
191,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Croatia,2022,22.121450917,US$/m3,E,false
192,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cuba,2020,23.797809558,US$/m3,E,false
192,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cuba,2021,20.245429566,US$/m3,E,false
192,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cuba,2022,21.012526366,US$/m3,E,false
196,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cyprus,2020,161.121547736,US$/m3,E,false
196,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cyprus,2021,161.055671518,US$/m3,E,false
196,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cyprus,2022,166.618496418,US$/m3,E,false
203,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Czechia,2020,78.698194123,US$/m3,E,false
203,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Czechia,2021,81.97565224,US$/m3,E,false
203,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Czechia,2022,74.077615971,US$/m3,E,false
384,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Côte d'Ivoire,2020,48.525615599,US$/m3,E,false
384,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Côte d'Ivoire,2021,51.761168236,US$/m3,E,false
384,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Côte d'Ivoire,2022,58.17080778,US$/m3,E,false
408,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Democratic People's Republic of Korea,2020,4.995678861,US$/m3,E,false
408,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Democratic People's Republic of Korea,2021,5.042294804,US$/m3,E,false
408,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Democratic People's Republic of Korea,2022,5.394883093,US$/m3,E,false
180,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Democratic Republic of the Congo,2020,106.199279603,US$/m3,E,false
180,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Democratic Republic of the Congo,2021,127.992882056,US$/m3,E,false
180,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Democratic Republic of the Congo,2022,149.039222335,US$/m3,E,false
208,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Denmark,2020,1022.100408924,US$/m3,E,false
208,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Denmark,2021,1240.665238595,US$/m3,E,false
208,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Denmark,2022,1362.672294992,US$/m3,E,false
214,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Dominican Republic,2020,36.200334425,US$/m3,E,false
214,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Dominican Republic,2021,44.279618141,US$/m3,E,false
214,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Dominican Republic,2022,46.955277883,US$/m3,E,false
30,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eastern Asia,2020,58.661687079,US$/m3,E,true
30,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eastern Asia,2021,70.832867437,US$/m3,E,true
30,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eastern Asia,2022,72.375483333,US$/m3,E,true
753,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eastern and South-Eastern Asia,2020,53.876662698,US$/m3,E,true
753,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eastern and South-Eastern Asia,2021,63.74207125,US$/m3,E,true
753,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eastern and South-Eastern Asia,2022,64.861982537,US$/m3,E,true
218,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Ecuador,2020,49.408506074,US$/m3,E,false
218,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Ecuador,2021,52.568838877,US$/m3,E,false
218,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Ecuador,2022,54.573683483,US$/m3,E,false
818,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Egypt,2020,22.003454423,US$/m3,E,false
818,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Egypt,2021,23.144279689,US$/m3,E,false
818,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Egypt,2022,26.086816653,US$/m3,E,false
222,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,El Salvador,2020,45.193486265,US$/m3,E,false
222,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,El Salvador,2021,54.757058813,US$/m3,E,false
222,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,El Salvador,2022,61.485515553,US$/m3,E,false
226,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Equatorial Guinea,2020,1424.45780353,US$/m3,E,false
226,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Equatorial Guinea,2021,1600.641333029,US$/m3,E,false
226,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Equatorial Guinea,2022,1697.746751153,US$/m3,E,false
232,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eritrea,2020,683.821971998,US$/m3,E,false
232,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eritrea,2021,704.85983479,US$/m3,E,false
232,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eritrea,2022,723.38254367,US$/m3,E,false
233,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Estonia,2020,6.655094013,US$/m3,E,false
233,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Estonia,2021,6.081288252,US$/m3,E,false
233,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Estonia,2022,4.895081018,US$/m3,E,false
748,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eswatini,2020,60.827705354,US$/m3,E,false
